name	AphiaID	Match type	ScientificName	AphiaID_accepted	ScientificName_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
Littorina littorea	140262	exact	Littorina littorea	140262	Littorina littorea	Animalia	Mollusca	Gastropoda	Littorinimorpha	Littorinidae	Littorina		littorea	
Littorina saxatilis	140264	exact	Littorina saxatilis	140264	Littorina saxatilis	Animalia	Mollusca	Gastropoda	Littorinimorpha	Littorinidae	Littorina		saxatilis	
Luidia ciliaris	123920	exact	Luidia ciliaris	123920	Luidia ciliaris	Animalia	Echinodermata	Asteroidea	Paxillosida	Luidiidae	Luidia		ciliaris	
Luidia sarsi	178639	exact	Luidia sarsi	123922	Luidia sarsii	Animalia	Echinodermata	Asteroidea	Paxillosida	Luidiidae	Luidia		sarsi	
Lumbrineris spp.	129337	exact	Lumbrineris	129337	Lumbrineris	Animalia	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineris			
Macoma balthica	141579	exact	Macoma balthica	880017	Limecola balthica	Animalia	Mollusca	Bivalvia	Cardiida	Tellinidae	Macoma		balthica	
Macropipus tuberculatus	107397	exact	Macropipus tuberculatus	107397	Macropipus tuberculatus	Animalia	Arthropoda	Malacostraca	Decapoda	Polybiidae	Macropipus		tuberculatus	
Macropodia spp.	205077	exact	Macropodia	205077	Macropodia	Animalia	Arthropoda	Malacostraca	Decapoda	Inachidae	Macropodia			
Macropodia tenuirostris	107346	exact	Macropodia tenuirostris	107346	Macropodia tenuirostris	Animalia	Arthropoda	Malacostraca	Decapoda	Inachidae	Macropodia		tenuirostris	
Magelona mirabilis	130271	exact	Magelona mirabilis	130271	Magelona mirabilis	Animalia	Annelida	Polychaeta		Magelonidae	Magelona		mirabilis	
